,index,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,Total_Charge,day_rate,eve_rate,night_rate,intl_rate,CLUSTER
955,955,MS,114,area_code_415,no,yes,34,154.4,109,26.25,221.4,142,18.82,208.5,103,9.38,10.3,5,2.78,0,no,57.230000000000004,0.17001295336787564,0.08500451671183379,0.04498800959232614,0.2699029126213592,0
956,956,AR,77,area_code_415,no,yes,23,209.7,73,35.65,183.6,63,15.61,205.5,111,9.25,7.1,3,1.92,2,no,62.43,0.17000476871721507,0.08502178649237473,0.045012165450121655,0.27042253521126763,3
957,957,NV,144,area_code_415,yes,no,0,150.0,69,25.5,285.9,73,24.3,190.6,121,8.58,9.4,15,2.54,0,no,60.919999999999995,0.17,0.08499475341028333,0.045015739769150055,0.2702127659574468,2
958,958,AL,91,area_code_510,no,yes,23,232.4,97,39.51,186.0,88,15.81,190.5,128,8.57,12.3,3,3.32,3,no,67.21,0.17000860585197933,0.085,0.04498687664041995,0.26991869918699185,4
959,959,GA,58,area_code_408,no,no,0,165.4,100,28.12,115.7,87,9.83,193.8,118,8.72,12.8,5,3.46,2,no,50.13,0.17001209189842806,0.08496110630942091,0.04499484004127967,0.27031249999999996,0
960,960,AR,5,area_code_415,no,no,0,199.2,106,33.86,187.3,12,15.92,214.0,85,9.63,13.3,3,3.59,3,no,63.0,0.16997991967871487,0.08499733048585156,0.045000000000000005,0.2699248120300752,4
961,961,MA,97,area_code_408,no,no,0,217.6,81,36.99,320.5,51,27.24,150.7,110,6.78,4.2,3,1.13,0,no,72.14,0.16999080882352943,0.08499219968798752,0.04499004644990047,0.26904761904761904,3
962,962,NJ,107,area_code_415,no,no,0,212.1,95,36.06,150.1,88,12.76,219.8,111,9.89,7.7,2,2.08,3,no,60.79,0.17001414427157002,0.08500999333777481,0.04499545040946315,0.2701298701298701,4
963,963,MO,142,area_code_415,no,yes,30,154.0,75,26.18,165.8,97,14.09,270.0,83,12.15,10.8,5,2.92,1,no,55.339999999999996,0.16999999999999998,0.08498190591073582,0.045,0.27037037037037037,0
964,964,NY,9,area_code_408,no,yes,31,193.8,130,32.95,202.6,98,17.22,191.2,102,8.6,13.3,2,3.59,1,no,62.36,0.17002063983488133,0.08499506416584403,0.04497907949790795,0.2699248120300752,1
965,965,AZ,73,area_code_415,no,no,0,175.4,130,29.82,248.1,105,21.09,122.4,85,5.51,12.2,4,3.29,0,no,59.709999999999994,0.17001140250855187,0.08500604594921403,0.04501633986928104,0.269672131147541,1
966,966,NJ,48,area_code_510,no,yes,22,152.0,63,25.84,258.8,131,22.0,263.2,109,11.84,15.7,5,4.24,2,yes,63.92000000000001,0.17,0.08500772797527048,0.044984802431610946,0.270063694267516,2
967,967,WV,43,area_code_408,no,no,0,230.2,147,39.13,186.7,121,15.87,128.4,100,5.78,9.2,3,2.48,0,no,63.26,0.16998262380538665,0.08500267809319764,0.04501557632398754,0.26956521739130435,1
968,968,NM,122,area_code_408,no,yes,33,174.9,103,29.73,248.2,105,21.1,164.6,116,7.41,13.5,3,3.65,1,yes,61.88999999999999,0.1699828473413379,0.08501208702659147,0.045018226002430134,0.27037037037037037,1
969,969,SC,93,area_code_415,no,no,0,190.2,68,32.33,262.2,64,22.29,130.0,92,5.85,8.8,4,2.38,0,no,62.85,0.1699789695057834,0.08501144164759726,0.045,0.27045454545454545,1
970,970,VT,85,area_code_415,no,no,0,176.4,122,29.99,224.9,123,19.12,219.6,50,9.88,11.5,1,3.11,1,no,62.1,0.17001133786848072,0.08501556247220987,0.044990892531876145,0.27043478260869563,2
971,971,TN,59,area_code_415,no,no,0,160.9,95,27.35,251.2,65,21.35,273.4,97,12.3,5.0,5,1.35,3,no,62.35,0.16998135487880672,0.08499203821656053,0.04498902706656913,0.27,3
972,972,LA,87,area_code_415,no,no,0,228.7,90,38.88,163.0,99,13.86,154.1,90,6.93,11.8,3,3.19,1,no,62.86,0.170004372540446,0.08503067484662577,0.044970798182998054,0.2703389830508474,1
973,973,OH,137,area_code_408,no,no,0,144.0,90,24.48,181.6,100,15.44,128.1,93,5.76,12.3,2,3.32,0,no,49.0,0.17,0.08502202643171806,0.04496487119437939,0.26991869918699185,1
974,974,OR,21,area_code_510,no,yes,31,135.9,90,23.1,271.0,84,23.04,179.1,89,8.06,9.5,7,2.57,6,no,56.77,0.16997792494481237,0.08501845018450184,0.04500279173646008,0.27052631578947367,4
975,975,DE,129,area_code_510,no,no,0,334.3,118,56.83,192.1,104,16.33,191.0,83,8.59,10.4,6,2.81,0,yes,84.56,0.16999700867484294,0.08500780843310775,0.044973821989528796,0.2701923076923077,2
976,976,KY,104,area_code_415,no,no,0,130.5,77,22.19,131.2,117,11.15,264.7,63,11.91,13.0,6,3.51,0,no,48.76,0.1700383141762452,0.08498475609756098,0.04499433320740461,0.26999999999999996,0
977,977,GA,93,area_code_408,no,yes,21,134.2,105,22.81,162.5,128,13.81,186.6,90,8.4,11.8,2,3.19,4,yes,48.209999999999994,0.16997019374068556,0.0849846153846154,0.04501607717041801,0.2703389830508474,4
978,978,VT,63,area_code_415,no,no,0,278.0,102,47.26,266.4,114,22.64,224.1,118,10.08,13.1,4,3.54,4,yes,83.52000000000001,0.16999999999999998,0.084984984984985,0.04497991967871486,0.2702290076335878,4
979,979,OR,161,area_code_415,no,no,0,105.4,70,17.92,214.8,122,18.26,223.6,126,10.06,7.8,5,2.11,0,no,48.35000000000001,0.1700189753320683,0.08500931098696463,0.04499105545617174,0.2705128205128205,3
980,980,TX,50,area_code_510,no,no,0,188.9,94,32.11,203.9,104,17.33,151.8,124,6.83,11.6,8,3.13,3,no,59.4,0.16998411858125992,0.08499264345267286,0.04499341238471673,0.26982758620689656,4
981,981,MO,103,area_code_408,no,yes,24,111.8,85,19.01,239.6,102,20.37,268.3,81,12.07,6.9,4,1.86,1,no,53.31,0.17003577817531307,0.08501669449081804,0.04498695490122997,0.26956521739130435,3
982,982,ND,84,area_code_415,no,yes,33,159.1,106,27.05,149.8,101,12.73,213.4,108,9.6,13.0,18,3.51,1,no,52.89,0.1700188560653677,0.0849799732977303,0.04498594189315838,0.26999999999999996,0
983,983,MN,92,area_code_510,no,no,0,212.4,105,36.11,224.6,118,19.09,221.3,105,9.96,9.0,4,2.43,1,no,67.59,0.17000941619585686,0.08499554764024933,0.045006778129236334,0.27,2
984,984,NV,77,area_code_415,no,no,0,142.3,112,24.19,306.3,111,26.04,196.5,82,8.84,9.9,1,2.67,1,no,61.74000000000001,0.16999297259311313,0.08501469147894221,0.04498727735368957,0.26969696969696966,2
985,985,NY,64,area_code_415,yes,no,0,346.8,55,58.96,249.5,79,21.21,275.4,102,12.39,13.3,9,3.59,1,yes,96.15,0.17001153402537486,0.08501002004008017,0.044989106753812645,0.2699248120300752,2
986,986,FL,159,area_code_415,no,yes,15,113.9,102,19.36,145.3,146,12.35,195.2,137,8.78,11.8,9,3.19,1,no,43.68,0.16997366110623352,0.0849965588437715,0.044979508196721314,0.2703389830508474,0
987,987,KS,110,area_code_415,yes,yes,27,267.9,103,45.54,263.3,74,22.38,178.1,106,8.01,8.3,2,2.24,1,yes,78.17,0.16998880179171333,0.08499810102544625,0.04497473329590118,0.26987951807228916,2
988,988,NV,138,area_code_510,no,no,0,171.4,117,29.14,115.2,128,9.79,224.5,115,10.1,17.0,4,4.59,3,no,53.620000000000005,0.17001166861143524,0.08498263888888888,0.04498886414253898,0.27,4
989,989,NV,178,area_code_408,no,no,0,275.4,150,46.82,187.5,62,15.94,147.1,126,6.62,13.6,3,3.67,1,no,73.05,0.17000726216412493,0.08501333333333333,0.04500339904826649,0.2698529411764706,1
990,990,SC,38,area_code_415,no,yes,31,197.2,118,33.52,249.9,70,21.24,298.9,104,13.45,3.9,2,1.05,0,no,69.26,0.1699797160243408,0.08499399759903961,0.04499832719973235,0.2692307692307693,3
991,991,MI,50,area_code_415,no,yes,35,192.6,97,32.74,135.2,101,11.49,216.2,101,9.73,7.9,2,2.13,2,no,56.09000000000001,0.1699896157840083,0.08498520710059172,0.04500462534690102,0.26962025316455696,3
992,992,MI,45,area_code_510,no,yes,26,91.7,104,15.59,150.6,119,12.8,63.3,103,2.85,7.7,5,2.08,1,no,33.32,0.17001090512540892,0.08499335989375831,0.045023696682464455,0.2701298701298701,0
993,993,TN,70,area_code_510,no,no,0,126.3,99,21.47,141.6,106,12.04,255.9,96,11.52,9.6,2,2.59,0,no,47.620000000000005,0.16999208234362628,0.08502824858757062,0.045017584994138334,0.26979166666666665,0
994,994,NY,147,area_code_510,no,yes,33,251.5,107,42.76,234.1,110,19.9,213.4,87,9.6,10.4,6,2.81,3,no,75.07,0.17001988071570576,0.08500640751815464,0.04498594189315838,0.2701923076923077,4
995,995,NV,94,area_code_510,no,no,0,190.6,108,32.4,152.3,95,12.95,144.7,97,6.51,7.5,5,2.03,1,no,53.88999999999999,0.16998950682056663,0.08502954694681548,0.04498963372494817,0.27066666666666667,3
996,996,IL,179,area_code_510,no,no,0,116.1,101,19.74,201.8,99,17.15,181.9,103,8.19,11.6,5,3.13,0,no,48.21,0.17002583979328165,0.08498513379583746,0.045024738867509614,0.26982758620689656,0
997,997,MS,116,area_code_415,no,no,0,217.3,91,36.94,216.1,95,18.37,148.1,76,6.66,11.3,3,3.05,2,no,65.02,0.1699953980671882,0.08500694123091163,0.0449696151249156,0.26991150442477874,1
998,998,ND,59,area_code_510,no,no,0,179.4,80,30.5,232.5,99,19.76,175.8,105,7.91,14.7,3,3.97,0,no,62.14,0.17001114827201783,0.08498924731182797,0.0449943117178612,0.27006802721088435,1
999,999,NC,165,area_code_415,no,no,0,207.7,109,35.31,164.8,94,14.01,54.5,91,2.45,7.9,3,2.13,0,no,53.900000000000006,0.17000481463649497,0.08501213592233009,0.044954128440366975,0.26962025316455696,1
1000,1000,MI,133,area_code_408,no,no,0,277.3,138,47.14,228.4,117,19.41,117.3,103,5.28,12.8,4,3.46,2,yes,75.28999999999999,0.16999639379733142,0.08498248686514887,0.04501278772378517,0.27031249999999996,1
1001,1001,TN,140,area_code_415,no,no,0,125.3,84,21.3,167.6,121,14.25,260.6,94,11.73,8.4,4,2.27,1,no,49.550000000000004,0.16999201915403034,0.08502386634844869,0.04501151189562548,0.2702380952380952,3
1002,1002,VT,93,area_code_408,no,yes,32,138.1,91,23.48,167.3,72,14.22,238.9,115,10.75,6.8,3,1.84,2,no,50.290000000000006,0.17002172338884866,0.084997011356844,0.04499790707408958,0.2705882352941177,3
1003,1003,OK,52,area_code_510,no,yes,38,169.3,88,28.78,225.9,97,19.2,172.0,86,7.74,8.2,3,2.21,0,no,57.93000000000001,0.16999409332545776,0.0849933598937583,0.045,0.26951219512195124,3
1004,1004,DE,64,area_code_415,no,yes,27,201.3,101,34.22,143.8,89,12.22,150.2,127,6.76,12.3,3,3.32,1,no,56.519999999999996,0.16999503229011423,0.08497913769123783,0.04500665778961385,0.26991869918699185,1
1005,1005,ND,12,area_code_510,yes,no,0,216.7,117,36.84,116.5,126,9.9,220.0,110,9.9,9.8,4,2.65,2,no,59.29,0.17000461467466546,0.0849785407725322,0.045,0.2704081632653061,3
1006,1006,OR,48,area_code_415,no,no,0,190.4,92,32.37,317.5,85,26.99,133.4,113,6.0,8.3,4,2.24,2,no,67.6,0.17001050420168065,0.08500787401574803,0.04497751124437781,0.26987951807228916,2
1007,1007,NY,181,area_code_408,no,no,0,143.3,91,24.36,195.5,58,16.62,223.3,95,10.05,6.0,7,1.62,1,no,52.65,0.16999302163293786,0.08501278772378518,0.045006717420510524,0.27,3
1008,1008,MO,168,area_code_415,no,yes,42,97.4,57,16.56,203.6,98,17.31,173.9,124,7.83,11.4,2,3.08,2,no,44.779999999999994,0.17002053388090346,0.08501964636542239,0.04502587694077056,0.27017543859649124,0
1009,1009,FL,155,area_code_415,no,no,0,181.4,111,30.84,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,3,no,55.72,0.17001102535832413,0.08497316636851521,0.044985163204747776,0.26991150442477874,4
1010,1010,ND,105,area_code_510,no,no,0,246.4,83,41.89,256.2,101,21.78,169.0,151,7.61,3.8,4,1.03,0,no,72.31,0.17000811688311687,0.08501170960187354,0.04502958579881657,0.2710526315789474,3
1011,1011,NY,11,area_code_415,no,no,0,143.4,130,24.38,289.4,50,24.6,194.0,100,8.73,9.7,6,2.62,2,no,60.330000000000005,0.1700139470013947,0.08500345542501729,0.045000000000000005,0.2701030927835052,2
1012,1012,ND,182,area_code_415,no,no,0,104.9,111,17.83,198.5,120,16.87,258.2,91,11.62,8.0,5,2.16,2,no,48.480000000000004,0.16997140133460437,0.08498740554156171,0.04500387296669248,0.27,0
1013,1013,NY,104,area_code_415,no,no,0,156.2,93,26.55,193.0,54,16.41,222.7,94,10.02,13.1,5,3.54,1,no,56.52,0.16997439180537774,0.08502590673575129,0.044993264481365064,0.2702290076335878,0
1014,1014,OH,102,area_code_415,no,no,0,114.8,125,19.52,81.9,126,6.96,304.3,101,13.69,12.0,4,3.24,0,no,43.410000000000004,0.1700348432055749,0.08498168498168497,0.04498849819257311,0.27,0
1015,1015,AL,122,area_code_415,no,no,0,232.5,96,39.53,205.5,120,17.47,213.7,91,9.62,11.9,2,3.21,0,no,69.83,0.17002150537634408,0.08501216545012165,0.045016378100140385,0.26974789915966385,2
1016,1016,SC,41,area_code_415,no,no,0,143.6,117,24.41,152.4,108,12.95,194.4,110,8.75,8.6,3,2.32,1,no,48.43,0.16998607242339833,0.08497375328083989,0.04501028806584362,0.2697674418604651,0
1017,1017,GA,132,area_code_415,no,no,0,176.7,132,30.04,244.1,80,20.75,176.3,120,7.93,9.1,4,2.46,2,no,61.18,0.17000565930956424,0.08500614502253175,0.04498014747589336,0.2703296703296703,3
1018,1018,WY,76,area_code_415,no,no,0,263.4,148,44.78,230.3,69,19.58,170.6,101,7.68,11.4,5,3.08,1,yes,75.11999999999999,0.17000759301442675,0.08501953973078592,0.045017584994138334,0.27017543859649124,1
1019,1019,WV,13,area_code_415,no,no,0,146.4,74,24.89,148.5,92,12.62,216.7,96,9.75,11.3,3,3.05,1,no,50.309999999999995,0.17001366120218578,0.08498316498316498,0.044993077988001846,0.26991150442477874,0
1020,1020,HI,115,area_code_415,no,yes,33,145.0,72,24.65,194.5,157,16.53,242.3,138,10.9,14.2,3,3.83,2,no,55.91,0.16999999999999998,0.08498714652956299,0.044985555096987206,0.26971830985915496,0
1021,1021,WV,67,area_code_408,no,no,0,167.8,91,28.53,167.7,69,14.25,110.3,71,4.96,8.4,12,2.27,1,no,50.010000000000005,0.1700238379022646,0.08497316636851521,0.04496826835902085,0.2702380952380952,1
1022,1022,LA,154,area_code_510,no,no,0,166.9,99,28.37,154.9,97,13.17,189.4,89,8.52,7.2,5,1.94,0,no,52.0,0.16998202516476932,0.08502259522272433,0.044984160506863775,0.26944444444444443,3
1023,1023,AR,100,area_code_510,no,no,0,142.5,87,24.23,195.7,88,16.63,122.1,117,5.49,7.8,8,2.11,2,no,48.46,0.17003508771929826,0.08497700562084824,0.04496314496314497,0.2705128205128205,3
1024,1024,AK,146,area_code_510,yes,no,0,133.0,65,22.61,262.8,93,22.34,214.3,128,9.64,11.2,3,3.02,1,no,57.61000000000001,0.16999999999999998,0.0850076103500761,0.044983667755482966,0.2696428571428572,0
1025,1025,DC,148,area_code_415,no,yes,11,252.9,129,42.99,284.3,88,24.17,262.8,99,11.83,12.3,1,3.32,1,no,82.30999999999999,0.16998813760379597,0.08501582835033415,0.04501522070015221,0.26991869918699185,2
1026,1026,AL,67,area_code_415,no,yes,28,95.0,94,16.15,291.2,73,24.75,159.6,114,7.18,10.0,2,2.7,2,no,50.78,0.16999999999999998,0.08499313186813187,0.0449874686716792,0.27,0
1027,1027,UT,161,area_code_510,yes,no,0,194.2,106,33.01,249.4,105,21.2,254.9,129,11.47,12.9,1,3.48,1,yes,69.16,0.1699794026776519,0.08500400962309543,0.04499803844644959,0.2697674418604651,2
1028,1028,KS,70,area_code_415,no,no,0,222.8,114,37.88,215.9,113,18.35,223.5,122,10.06,0.0,0,0.0,1,no,66.29,0.17001795332136446,0.08499305233904586,0.04501118568232662,0.2700583459059327,3
1029,1029,MN,116,area_code_510,no,no,0,201.8,82,34.31,231.5,95,19.68,226.1,130,10.17,16.5,5,4.46,0,no,68.61999999999999,0.17001982160555004,0.08501079913606911,0.04498009730207873,0.2703030303030303,2
1030,1030,VA,99,area_code_415,no,yes,42,216.0,125,36.72,232.3,104,19.75,215.5,100,9.7,9.3,4,2.51,2,yes,68.68,0.16999999999999998,0.08501937150236763,0.04501160092807424,0.2698924731182795,2
1031,1031,UT,87,area_code_415,no,no,0,146.3,108,24.87,171.8,102,14.6,167.5,66,7.54,5.3,9,1.43,1,no,48.44,0.16999316473000683,0.0849825378346915,0.045014925373134326,0.269811320754717,3
1032,1032,IN,87,area_code_510,no,no,0,234.8,85,39.92,140.9,91,11.98,204.3,93,9.19,9.5,5,2.57,1,no,63.660000000000004,0.17001703577512778,0.08502484031227821,0.044982868330885946,0.27052631578947367,1
1033,1033,CT,70,area_code_408,no,no,0,198.6,111,33.76,213.9,115,18.18,171.2,105,7.7,10.6,6,2.86,2,no,62.5,0.16998992950654582,0.0849929873772791,0.0449766355140187,0.269811320754717,1
1034,1034,DE,131,area_code_408,no,no,0,94.4,80,16.05,215.1,101,18.28,179.7,108,8.09,13.1,9,3.54,2,no,45.96,0.17002118644067796,0.08498372849837285,0.04501947690595437,0.2702290076335878,0
1035,1035,VT,119,area_code_510,no,no,0,190.4,74,32.37,215.6,113,18.33,161.2,111,7.25,10.0,1,2.7,2,no,60.65,0.17001050420168065,0.08501855287569572,0.04497518610421836,0.27,1
1036,1036,MO,119,area_code_408,no,yes,32,142.6,77,24.24,208.2,126,17.7,171.0,102,7.69,12.0,2,3.24,3,no,52.87,0.1699859747545582,0.08501440922190202,0.04497076023391813,0.27,4
1037,1037,RI,87,area_code_510,yes,no,0,134.2,80,22.81,165.0,71,14.03,173.1,102,7.79,10.7,5,2.89,0,no,47.519999999999996,0.16997019374068556,0.08503030303030303,0.045002888503755056,0.27009345794392525,0
1038,1038,CA,112,area_code_415,no,no,0,111.9,92,19.02,114.0,143,9.69,146.8,79,6.61,14.1,3,3.81,5,yes,39.13,0.16997319034852545,0.08499999999999999,0.04502724795640327,0.2702127659574468,4
1039,1039,RI,75,area_code_415,no,no,0,122.8,89,20.88,211.3,104,17.96,261.4,91,11.76,10.7,2,2.89,2,no,53.49,0.1700325732899023,0.08499763369616659,0.044988523335883705,0.27009345794392525,0
1040,1040,CT,150,area_code_510,no,no,0,189.3,77,32.18,220.9,105,18.78,238.7,117,10.74,9.2,5,2.48,4,no,64.18,0.1699947173798204,0.0850158442734269,0.0449937159614579,0.26956521739130435,4
1041,1041,IN,161,area_code_510,no,yes,38,240.4,112,40.87,201.8,102,17.15,206.1,112,9.27,16.1,6,4.35,0,no,71.63999999999999,0.17000831946755407,0.08498513379583746,0.044978165938864625,0.27018633540372666,1
1042,1042,FL,91,area_code_510,yes,yes,24,93.5,112,15.9,183.4,128,15.59,240.7,133,10.83,9.9,3,2.67,0,no,44.99,0.17005347593582887,0.08500545256270446,0.04499376817615289,0.26969696969696966,0
1043,1043,KS,124,area_code_415,no,no,0,158.6,104,26.96,211.2,77,17.95,179.3,104,8.07,10.2,8,2.75,3,no,55.73,0.16998738965952082,0.0849905303030303,0.04500836586726157,0.26960784313725494,4
1044,1044,NY,94,area_code_510,yes,no,0,243.2,109,41.34,147.0,88,12.5,94.9,99,4.27,7.2,4,1.94,4,no,60.05,0.16998355263157897,0.08503401360544217,0.044994731296101154,0.26944444444444443,4
1045,1045,TX,217,area_code_408,no,no,0,176.4,115,29.99,158.8,128,13.5,306.6,107,13.8,9.3,3,2.51,4,no,59.79999999999999,0.17001133786848072,0.08501259445843828,0.04500978473581213,0.2698924731182795,4
1046,1046,RI,158,area_code_510,no,no,0,220.9,129,37.55,242.2,108,20.59,233.3,75,10.5,6.4,5,1.73,0,no,70.37,0.1699864191942055,0.08501238645747317,0.04500642948992713,0.27031249999999996,2
1047,1047,NV,102,area_code_415,no,no,0,144.4,87,24.55,266.5,128,22.65,217.6,59,9.79,7.1,7,1.92,0,no,58.910000000000004,0.17001385041551245,0.0849906191369606,0.04499080882352941,0.27042253521126763,3
1048,1048,UT,85,area_code_510,no,no,0,212.3,107,36.09,228.4,103,19.41,163.3,116,7.35,7.7,3,2.08,0,no,64.93,0.16999528968440886,0.08498248686514887,0.045009185548071026,0.2701298701298701,3
1049,1049,OK,79,area_code_510,no,no,0,147.0,72,24.99,165.7,102,14.08,243.2,107,10.94,8.4,9,2.27,1,no,52.28,0.16999999999999998,0.08497284248642124,0.044983552631578945,0.2702380952380952,3
1050,1050,MN,139,area_code_510,no,yes,25,96.2,112,16.35,178.9,70,15.21,182.1,84,8.19,12.9,10,3.48,2,no,43.23,0.16995841995841998,0.08501956400223588,0.04497528830313015,0.2697674418604651,0
1051,1051,NC,103,area_code_415,no,no,0,263.4,118,44.78,179.1,69,15.22,214.7,112,9.66,10.3,2,2.78,0,no,72.44,0.17000759301442675,0.08498045784477946,0.044993013507219376,0.2699029126213592,2
1052,1052,OR,98,area_code_415,yes,no,0,12.5,67,2.13,256.6,90,21.81,169.4,88,7.62,7.7,9,2.08,1,no,33.64,0.1704,0.08499610288386593,0.04498229043683589,0.2701298701298701,0
1053,1053,NH,78,area_code_408,no,no,0,162.3,116,27.59,192.4,86,16.35,240.6,100,10.83,10.1,3,2.73,2,no,57.49999999999999,0.16999383857054837,0.08497920997920999,0.045012468827930176,0.2702970297029703,0
1054,1054,AK,50,area_code_408,no,no,0,183.6,107,31.21,58.6,118,4.98,202.6,99,9.12,8.7,3,2.35,1,no,47.66,0.16998910675381265,0.08498293515358363,0.04501480750246791,0.2701149425287357,3
1055,1055,OR,161,area_code_415,no,no,0,178.1,109,30.28,146.5,86,12.45,137.6,78,6.19,8.5,2,2.3,1,no,51.22,0.17001684446939921,0.08498293515358361,0.04498546511627907,0.27058823529411763,3
1056,1056,KS,67,area_code_408,no,no,0,201.4,101,34.24,97.6,122,8.3,202.5,119,9.11,7.0,3,1.89,0,no,53.540000000000006,0.17000993048659385,0.08504098360655739,0.04498765432098765,0.26999999999999996,3
1057,1057,WV,86,area_code_415,no,yes,38,123.0,158,20.91,133.9,119,11.38,138.2,103,6.22,13.3,4,3.59,1,no,42.099999999999994,0.17,0.08498879761015683,0.04500723589001447,0.2699248120300752,0
1058,1058,GA,92,area_code_510,no,no,0,208.0,125,35.36,198.9,76,16.91,76.4,97,3.44,8.6,6,2.32,0,no,58.029999999999994,0.16999999999999998,0.08501759678230267,0.0450261780104712,0.2697674418604651,1
1059,1059,NM,174,area_code_415,no,no,0,239.2,72,40.66,188.5,124,16.02,105.6,116,4.75,8.8,3,2.38,1,no,63.809999999999995,0.16998327759197324,0.0849867374005305,0.04498106060606061,0.27045454545454545,1
1060,1060,OH,124,area_code_510,no,no,0,193.0,97,32.81,89.8,99,7.63,172.8,104,7.78,15.3,3,4.13,1,no,52.35000000000001,0.17,0.08496659242761692,0.045023148148148145,0.2699346405228758,1
1061,1061,ND,132,area_code_415,no,yes,31,174.5,101,29.67,245.6,105,20.88,172.8,76,7.78,10.3,9,2.78,1,no,61.11,0.17002865329512895,0.08501628664495114,0.045023148148148145,0.2699029126213592,1
1062,1062,RI,190,area_code_415,no,yes,26,116.7,71,19.84,145.9,88,12.4,175.1,103,7.88,9.9,3,2.67,1,no,42.790000000000006,0.17000856898029135,0.08498971898560657,0.045002855511136496,0.26969696969696966,0
1063,1063,HI,101,area_code_510,no,no,0,93.8,127,15.95,150.0,104,12.75,241.1,116,10.85,10.7,2,2.89,1,no,42.44,0.17004264392324095,0.085,0.04500207382828702,0.27009345794392525,0
1064,1064,WY,185,area_code_415,yes,yes,30,154.1,114,26.2,118.7,106,10.09,258.4,105,11.63,12.9,3,3.48,2,no,51.4,0.1700194678780013,0.08500421229991575,0.0450077399380805,0.2697674418604651,0
1065,1065,NY,68,area_code_415,no,yes,29,239.5,82,40.72,203.8,105,17.32,167.8,70,7.55,9.9,6,2.67,0,no,68.26,0.17002087682672234,0.08498527968596663,0.04499404052443384,0.26969696969696966,1
1066,1066,KS,117,area_code_510,no,yes,25,216.0,140,36.72,224.1,69,19.05,267.9,112,12.06,11.8,4,3.19,0,no,71.02,0.16999999999999998,0.08500669344042838,0.04501679731243002,0.2703389830508474,2
1067,1067,LA,118,area_code_408,no,no,0,187.4,97,31.86,177.8,89,15.11,233.4,97,10.5,12.2,6,3.29,1,no,60.76,0.17001067235859124,0.08498312710911135,0.04498714652956298,0.269672131147541,2
1068,1068,PA,124,area_code_415,no,no,0,167.4,119,28.46,233.2,143,19.82,109.6,115,4.93,10.3,5,2.78,0,no,55.99,0.17001194743130227,0.08499142367066896,0.04498175182481752,0.2699029126213592,1
1069,1069,NV,22,area_code_510,no,no,0,160.4,108,27.27,218.1,88,18.54,192.9,115,8.68,12.5,4,3.38,1,no,57.870000000000005,0.17001246882793017,0.08500687757909216,0.04499740798341109,0.2704,0
1070,1070,MN,75,area_code_415,no,no,0,143.2,92,24.34,209.1,142,17.77,173.0,96,7.79,11.9,9,3.21,1,no,53.11,0.16997206703910617,0.08498326159732185,0.045028901734104045,0.26974789915966385,0
1071,1071,PA,134,area_code_408,no,no,0,205.3,122,34.9,240.5,155,20.44,179.1,107,8.06,5.0,9,1.35,1,no,64.75,0.16999512907939598,0.08498960498960499,0.04500279173646008,0.27,3
1072,1072,MO,164,area_code_408,no,yes,25,219.1,88,37.25,151.5,99,12.88,50.1,60,2.25,14.3,6,3.86,1,no,56.24,0.17001369237790964,0.08501650165016503,0.04491017964071856,0.2699300699300699,1
1073,1073,NY,44,area_code_510,no,no,0,143.2,77,24.34,169.8,114,14.43,215.8,77,9.71,7.6,4,2.05,1,no,50.529999999999994,0.16997206703910617,0.08498233215547703,0.04499536607970343,0.26973684210526316,3
1074,1074,ME,177,area_code_415,no,no,0,232.8,106,39.58,175.2,97,14.89,212.2,77,9.55,12.5,7,3.38,2,no,67.39999999999999,0.17001718213058417,0.08498858447488586,0.04500471253534402,0.2704,1
1075,1075,NH,110,area_code_408,no,no,0,162.0,81,27.54,247.5,89,21.04,155.5,99,7.0,8.9,8,2.4,0,no,57.98,0.16999999999999998,0.08501010101010101,0.04501607717041801,0.2696629213483146,1
1076,1076,WY,53,area_code_415,no,yes,27,25.9,119,4.4,206.5,96,17.55,228.1,64,10.26,6.5,7,1.76,1,no,33.97,0.1698841698841699,0.08498789346246974,0.04498027181060938,0.27076923076923076,0
1077,1077,NY,108,area_code_415,no,no,0,154.2,123,26.21,112.3,86,9.55,246.4,75,11.09,15.4,4,4.16,4,yes,51.010000000000005,0.16997405966277562,0.08504007123775602,0.04500811688311688,0.2701298701298701,4
1078,1078,ME,80,area_code_408,no,no,0,322.3,113,54.79,222.0,95,18.87,162.8,123,7.33,6.7,8,1.81,0,yes,82.8,0.16999689730065157,0.085,0.04502457002457002,0.2701492537313433,2
1079,1079,MN,158,area_code_408,no,no,0,209.9,112,35.68,221.3,82,18.81,210.0,93,9.45,8.2,3,2.21,1,no,66.14999999999999,0.16998570747975225,0.08499774062358788,0.045,0.26951219512195124,2
1080,1080,OH,114,area_code_415,no,no,0,191.5,88,32.56,175.2,78,14.89,220.3,118,9.91,0.0,0,0.0,0,no,57.36,0.17002610966057444,0.08498858447488586,0.04498411257376305,0.2700583459059327,3
